Weight(grams),Price(rupees),Length(cm),Width(cm),Height(cm),Product_Category,Shipping_Distance(kms),Fragility,Urgency,Mode_of_Transport
5769.94152252353,334790.4347359366,312.50781657543575,386.4059950393871,286.2839248145019,Electronics,3228.5877882580144,0,4,Air
68415.33837290407,224185.55149207512,378.9509757818289,104.30727851377694,107.13760098343141,Electronics,4806.228645307903,1,5,Air
80070.91072247637,137233.25044010128,140.7352570076361,491.7232514474259,228.95993198348305,Electronics,7650.339386571827,0,2,Air
80210.75057413036,471358.01186008356,339.548508358483,332.6134840732242,109.21589320491209,Electronics,9315.531896319668,1,3,Sea
96564.42776546978,217808.92260373838,140.45007673010934,60.900534561047024,290.29174441538015,Electronics,13207.651943275792,1,1,Sea
44957.962597709644,287974.7761836688,325.2551515787412,32.31104226102681,429.1654783988996,Electronics,2919.1762838364225,0,4,Air
83292.25277952397,76838.62454101864,350.5182429699168,494.6893293081366,437.5328873334497,Electronics,13365.08684994192,0,5,Sea
25410.195852844066,284503.2284325495,400.5362755054193,403.751110549108,87.80475764258377,Electronics,13900.042498550914,1,2,Air
5977.509932882477,59312.22194919326,97.31536633048468,309.0199029679588,218.76622544078998,Electronics,5197.7681780939665,0,2,Sea
49255.746492159604,287153.11015168886,321.421373822026,369.70289230896947,273.6288785513161,Electronics,13144.76210450669,1,2,Sea
65373.53760921487,231252.50719956518,142.40522538484586,142.56165129485169,58.712769154633655,Electronics,6079.073005321594,1,3,Sea
92176.90025989423,312266.6934244395,58.84256091354358,453.09132333579043,326.32187620411406,Electronics,2098.335264312289,0,4,Air
74134.66865551697,60640.96910218932,146.89166312461887,313.7556790266345,10.933674382844153,Electronics,7629.674819547503,0,5,Air
25494.7852131162,457751.4837074144,270.1279387457517,428.89003523535024,299.11651345697953,Electronics,4196.652601901298,0,2,Air
52285.283621938856,168714.16132365188,338.2030283380359,416.24663206315057,32.89789983023479,Electronics,13513.56360640543,0,5,Sea
66744.30215218377,32323.130008620003,401.3113140523414,288.78847231550674,110.63691105163693,Electronics,12278.441053702449,0,5,Air
29987.03307344108,259735.60653142666,189.31693489633517,46.11087148237737,234.77073986826045,Electronics,729.7412905041938,0,4,Air
87476.77326674746,428801.36936971126,221.18638353873337,255.49719399288279,417.3092524885248,Electronics,10781.708826320548,0,4,Sea
88423.78660262575,120323.88023116253,51.85032863402137,31.336575268094837,243.88115106811298,Electronics,4852.259982394551,1,2,Air
56418.02263490512,483711.9233329312,173.30117988979006,422.25699567381724,459.8620741650795,Electronics,13450.871294398077,1,2,Air
23194.982809120516,383810.2067935918,371.2874350964034,160.20200042299564,26.023168927713876,Electronics,370.51512956559236,0,3,Air
93406.68862447586,63549.54803496792,234.9357369822079,304.38245789416226,53.51071654273054,Electronics,5923.390386416148,0,1,Air
39594.321404175695,282739.28842537105,98.41977600345788,371.48897237873143,361.68854198495393,Electronics,13204.216269136625,1,4,Air
15917.233554340475,452755.5571386183,80.22575712444414,345.8192826735251,292.58358025973996,Electronics,3349.693120809468,1,4,Air
32860.862763455305,106933.93935882815,189.37955323670934,105.28745835795004,229.78317320775568,Electronics,5008.1350967501685,0,2,Sea
34119.59730754606,394535.64625863195,325.59764623659754,178.278996370614,100.09172137879335,Electronics,3354.7970148453696,1,1,Air
89976.54272816567,443535.1356180026,441.8800745744751,308.30025739368017,406.2737772830761,Electronics,13898.49182252299,1,2,Sea
2081.1672873706766,348768.99950341217,54.038795426599464,433.75382551171043,90.9145134477743,Electronics,3495.2438070028566,1,2,Air
21458.089003316793,335182.18511476525,159.34988765512392,117.47800742984808,376.6720003143206,Electronics,14589.818623262581,0,4,Sea
80627.4606184993,185151.266910395,443.1826437750821,96.14960082293473,262.63562791948715,Electronics,2941.3292265440223,0,5,Air
57477.87437284351,293786.3461660231,197.5046126240028,365.2282850165671,21.257786430499955,Electronics,9599.23812581351,0,2,Air
61297.97266790772,482589.71669913194,188.45531143613152,392.86891931267024,366.32672242756973,Electronics,6275.520776098724,1,1,Air
96459.02216736667,44300.292345629976,64.76157951309042,310.67894865206415,296.1791084719704,Electronics,3951.7249763485734,1,2,Air
41727.19507151076,428569.06668935635,115.35855873669486,211.5285020963024,262.915366631313,Electronics,1918.097888291572,1,3,Air
6740.920756407135,153085.1140208787,162.1235870656018,438.40638771637316,411.2018772652168,Electronics,6951.303847640228,1,2,Air
9422.348522615808,262556.9084639442,300.55241537261423,128.19195827223155,36.68460425924402,Electronics,14029.188532556536,1,4,Sea
12279.015808115724,322791.8165651302,277.2580963557678,475.57419899770326,264.35823168214563,Electronics,8308.026813521148,1,1,Air
94552.25300063053,482283.7130109855,389.0138158958607,381.95017482840626,13.731863146031884,Electronics,3920.5897649716967,0,2,Air
68952.68871422639,247401.51275115839,105.13604669566396,139.2311301282665,498.24538103228053,Electronics,399.9189548971765,1,2,Air
9146.725418832772,242822.04287256612,175.0558731454453,476.286984375566,212.09941043396125,Electronics,4299.169287896548,0,2,Sea
1416.049933385238,232905.53243787464,20.169540648974937,151.505934679143,62.85777673023352,Electronics,940.0597518849121,1,2,Land
30344.880683831783,367660.13622473,131.7474119339563,55.52455967717397,101.82820842802748,Electronics,3609.340225077682,1,2,Sea
37491.38826949317,408814.9539249145,196.96936144874007,234.6157456613369,249.46008575045488,Electronics,13485.009094089055,0,1,Sea
36028.51363840662,54005.651873135444,313.7439833615984,30.07474936145752,434.3586002925541,Electronics,4537.650413088375,1,5,Air
86848.68482093238,45913.93328193032,389.9666674441629,26.393907838474785,119.64038503132649,Electronics,2056.4121945756483,0,5,Air
76404.68403733685,120121.56458838722,85.80346980899854,416.08015071170075,104.01010718882623,Electronics,9570.834423875256,0,4,Sea
27897.536930722123,261749.8834645016,309.5799800758618,433.74221265553143,491.2928723702108,Electronics,4164.552351676652,0,3,Sea
7656.267155144924,351209.61697620864,230.98578572421582,436.7647015668678,252.59634512309174,Electronics,4963.060266455487,0,5,Air
78205.56336614685,356662.9740779886,345.8176009026784,261.7300379918606,428.59767103109164,Electronics,11749.366884678451,1,5,Air
66928.66533569788,356040.7411006392,270.2149729424838,432.7116236172539,397.04196753731924,Electronics,14058.628637615975,0,4,Sea
58933.63394025663,142961.91852455903,153.4850973148404,357.26626181549324,188.81499904568574,Electronics,14120.520007689793,0,2,Sea
74224.6668364924,41180.13135486319,18.328784884045945,19.424132143100323,255.3359665200539,Electronics,12895.720553781035,0,2,Sea
47771.435164704606,33039.59529311756,436.47446840570603,41.90738571928345,178.77316603277833,Electronics,5007.740780458616,1,4,Air
89776.98804301122,466181.749427778,211.72864463532943,102.95742544714771,158.13377832518182,Electronics,798.0690653968825,1,4,Air
27710.661850131026,380266.20033228275,143.828371152772,337.56653187125266,213.3382707846172,Electronics,957.9782117134096,1,4,Sea
55942.98430134724,112707.94594862468,331.0657545200333,297.8876487329736,348.930638647574,Electronics,14986.235239624728,0,1,Air
14184.865386378651,445781.82111072994,422.9502923162055,405.8693185243616,15.031821297968545,Electronics,4118.233825302255,0,3,Sea
41494.4407975868,225761.66402741728,498.1729731559008,91.12237123306194,63.61242108491353,Electronics,7290.3190643263215,0,2,Sea
92039.206254217,419990.636374039,54.65585545460603,245.33962074239622,50.05390990165282,Electronics,6345.025366367641,1,4,Air
51385.87380792635,96958.36129079579,405.19164677867894,255.6799369299472,490.948443462093,Electronics,10010.143822089283,1,4,Sea
71040.24741190484,126557.94888557549,296.24011524187137,51.869407399972765,441.9366180677859,Electronics,1404.263324623924,0,2,Sea
69824.65484316317,38632.68586807222,144.79400981360163,30.89420469972077,199.29550009272273,Electronics,1739.704461339339,0,4,Air
54756.727548232746,199995.37180824095,181.38121546281016,171.8745880952217,456.6618218196228,Electronics,6181.513036897243,0,5,Air
60454.18827531779,352207.83590304566,232.6277668201736,76.89023811709046,83.13195920407446,Electronics,357.4805251452919,1,2,Air
9964.747610930312,481752.9992377118,398.84327810535103,203.3762063288051,444.9670123247586,Electronics,2855.6560811414897,0,1,Sea
48558.756393832155,354887.43329446716,368.46193021600783,490.24270473457943,226.68560274099204,Electronics,2414.014991618447,1,5,Air
83163.60506624018,431054.8797986709,371.5133492631236,429.34801568690085,270.2219323064725,Electronics,640.4368142270969,1,4,Air
39604.903405323836,303562.3364188872,228.70497513318514,77.85283992698425,355.83137250287706,Electronics,11348.91149498979,1,2,Sea
71087.59659940931,489804.21534411877,311.50738589779775,327.58917694098636,167.70182689113417,Electronics,133.1280346135712,1,4,Air
30917.809211984168,196596.0144054051,351.01092170541887,203.06526902482264,308.3753606688248,Electronics,1555.0888124252099,0,5,Air
33518.95582559955,367236.40653655544,491.3272731669023,467.2466910839613,349.93713720036465,Electronics,4351.915938326097,0,2,Air
91345.2086048243,487788.54853866855,39.14197541257019,79.48417307402207,48.592152169749866,Electronics,12308.81607056853,0,2,Sea
94059.78219590426,429894.32022652135,266.7712785477582,439.0377500264289,291.0734393621342,Electronics,4922.843336960309,0,2,Sea
49460.1234976291,293403.0379328074,326.1347640989532,80.95159894049489,346.97050156220774,Electronics,797.2566463232406,0,1,Air
11096.918368472128,436917.24595408014,349.2570718932218,195.47247992583243,173.32554042384982,Electronics,1847.6980471929003,0,4,Air
89414.609466674,322931.9860929336,276.8220876859323,22.7531790252761,139.70191066239215,Electronics,2433.159854944595,0,5,Sea
53593.03890578849,200921.87735885364,226.01956040192024,305.9161845246909,492.8544955482153,Electronics,4842.72466864304,0,2,Sea
63729.82004306197,486371.782538342,423.57855625554316,154.56103799989287,237.84712837375397,Electronics,4252.8844977574645,1,2,Air
96828.40010575445,411164.95007833943,168.9237085893956,84.36187697728661,111.19334997447191,Electronics,6658.215053734679,1,3,Air
52962.54580813328,456222.1301636879,474.2654571755814,397.21963814121625,26.438612998483396,Electronics,8674.966438899304,1,3,Sea
61747.40824347513,94862.43685631506,324.3171106065558,67.96345748911533,71.00173393437835,Electronics,12007.844172432046,1,2,Sea
55816.19984152981,274358.9413984066,490.7123141391425,299.95878566841395,17.607381218984102,Electronics,5391.383645543533,0,5,Air
91118.89517183503,390590.7194372587,396.94678977274424,419.92066722059513,345.37319161172326,Electronics,211.29085957015087,0,4,Sea
34970.761479837136,281607.6699404181,210.66699143636458,233.4773208612697,105.13768481583486,Electronics,3259.9787749736734,1,5,Sea
2342.6048283857,168846.2164466313,105.38597356892075,208.66929300376185,413.9255674994519,Electronics,13412.876917757061,0,1,Air
38981.59063326321,477508.00295575854,138.84292317699692,203.78799694512907,464.06071470313805,Electronics,3766.456454064456,1,2,Air
46889.65641516066,117455.64813646258,476.2149611952092,142.75556628225854,133.33295163929816,Electronics,8480.211507733744,1,5,Air
42655.35885540985,175334.3691976812,282.3703031943618,82.6522267917808,404.51772347289625,Electronics,7851.458677668694,0,5,Air
1461.80194295597,148362.04467769625,339.53857073983363,174.20664531631405,176.70503929408642,Electronics,1224.4325224220183,1,4,Air
3385.4479151413975,473222.4703036743,349.59982994226516,173.23726061155682,319.070019372919,Electronics,9610.314953623736,1,2,Air
57376.11213104894,265189.2070560736,322.16014922056485,443.67729723929796,498.83234258018723,Electronics,2115.9914805315134,1,3,Sea
19659.114503641224,216946.16993589888,407.9659791951556,172.5204745721482,381.9791214661622,Electronics,1618.5101838093337,0,2,Air
30162.57918265875,448499.9210581243,495.9087823302189,79.27839960053811,325.4610216623316,Electronics,293.7218702673476,0,1,Sea
37492.57107572867,287886.667418706,150.18709038374874,398.49541926903004,420.7046752181708,Electronics,4987.900376260021,0,4,Sea
